Timestamp,Age,Gender,Faculty,Academic Term / Year,"Have you ever encountered child abuse material (CSAM) on social media? This includes any kind of involvement of minors in sexual contexts, including in visual media, online conversations, comments, posts, etc.",On which platforms have you encountered CSAM? (Select all that apply),How often do you encounter CSAM on social media?,"Briefly describe the type of CSAM you encountered (e.g., image, video, content description). Please note: You do not need to go into graphic detail.",How did you react when you encountered CSAM? (Select all that apply),How do you think someone should react to CSAM?,Did you know how to report CSAM on social media platforms?,"If you reported the CSAM, did you feel the platform took appropriate action?","In your opinion, how serious of an issue is CSAM on social media?",Do you think social media platforms do enough to prevent CSAM from being shared?,How effective are current reporting mechanisms for CSAM on social media?,What kind of action do you think social media platforms should take in response to CSAM?,Would you be interested in learning more about CSAM and how to report it?,Do you have any other comments or suggestions regarding CSAM on social media?
3/11/2024 20:22:02,20,Male,Arts,3B,No,N/A,Never,N/A,N/A,N/A,N/A,N/A,7,1,5,"Forfeit data to authorities, Take down content related to CSAM, Disable users posting content related to CSAM, Disable users engaging (comments, likes, shares) with content related to CSAM",Maybe,N/A
3/11/2024 20:49:29,21,Non-Binary,Mathematics,3B,No,N/A,Never,N/A,N/A,N/A,N/A,N/A,6,3,5,"Forfeit data to authorities, Take down content related to CSAM, Disable users posting content related to CSAM",No,N/A
3/11/2024 20:54:23,20,Male,Mathematics,3A,No,"Instagram, Twitter / X",Never,N/A,N/A,N/A,N/A,N/A,1,1,1,Take down content related to CSAM,No,No
3/11/2024 20:57:23,22,Male,Arts,4B,Yes,Twitter / X,Rarely (once or twice),N/A,"Felt disgusted or disturbed, Reported the content to the platform, Blocked the account of the poster","Feel disgusted or disturbed or helpless, Report the content to the platform",Unsure,Yes,8,3,6,"Forfeit data to authorities, Take down content related to CSAM, Disable users posting content related to CSAM, Disable users engaging (comments, likes, shares) with content related to CSAM, Warn users that content that they post or engage in might be CSAM, but allow them to proceed anyways",No,N/A
3/11/2024 20:57:25,19,Male,Arts,1B,No,N/A,Never,N/A,N/A,N/A,N/A,N/A,8,1,2,"Forfeit data to authorities, Take down content related to CSAM, Disable users posting content related to CSAM, Disable users engaging (comments, likes, shares) with content related to CSAM",Yes,N/A
3/11/2024 20:58:32,22,Male,Mathematics,4A,Yes,"Facebook, Instagram, Twitter / X, Snapchat",Rarely (once or twice),N/A,"Felt disgusted or disturbed, Reported the content to the platform","Feel disgusted or disturbed or helpless, Report the content to the platform",Yes,Unsure,10,1,2,"Forfeit data to authorities, Take down content related to CSAM, Disable users posting content related to CSAM, Warn users that content that they post or engage in might be CSAM, but allow them to proceed anyways",Yes,N/A
3/11/2024 20:59:04,21,Male,Mathematics,3B,Yes,TikTok,Rarely (once or twice),TikTok stitch describing accounts of parents exploiting their children for monetary gain.,Felt disgusted or disturbed,"Feel disgusted or disturbed or helpless, Report the content to the platform",Yes,N/A,10,3,,"Forfeit data to authorities, Take down content related to CSAM, Disable users posting content related to CSAM, Disable users engaging (comments, likes, shares) with content related to CSAM",Yes,N/A
3/11/2024 21:14:56,21,Not disclosed,Mathematics,4A,No,N/A,Never,N/A,N/A,N/A,N/A,N/A,10,1,3,"Take down content related to CSAM, Disable users posting content related to CSAM, Disable users engaging (comments, likes, shares) with content related to CSAM",Yes,N/A
3/11/2024 21:17:27,23,Non-Binary,Mathematics,4B,Yes,Facebook,Rarely (once or twice),animated - graphic images of cartoon and anime characters who are younger than 18,"Felt disgusted or disturbed, Felt helpless, Ignored it","Feel disgusted or disturbed or helpless, Report the content to the platform, Block the account of the poster",Yes,Unsure,6,4,9,Take down content related to CSAM,No,N/A
3/11/2024 21:56:29,21,Agender,Mathematics,3A,Yes,Instagram,Rarely (once or twice),"Images of videos of children in bathing suits, or displaying affection towards someone, usually from accounts of children managed by their parents (largely unintentional but can be used in abusive contexts).","Felt disgusted or disturbed, Reported the content to the platform, Blocked the account of the poster","Feel disgusted or disturbed or helpless, Report the content to the platform, Block the account of the poster",Yes,Unsure,8,2,4,"Forfeit data to authorities, Take down content related to CSAM, Disable users posting content related to CSAM",Yes,None
3/11/2024 23:30:13,20,Male,Mathematics,3B,No,N/A,Never,N/A,N/A,N/A,N/A,N/A,8,2,3,"Forfeit data to authorities, Take down content related to CSAM, Disable users posting content related to CSAM, Disable users engaging (comments, likes, shares) with content related to CSAM",Yes,N/A
3/12/2024 0:25:38,19,Male,Science,1B,Yes,"Instagram, Twitter / X, TikTok, YouTube",Rarely (once or twice),N/A,"Felt disgusted or disturbed, Felt helpless, Reported the content to the platform, Blocked the account of the poster","Feel disgusted or disturbed or helpless, Report the content to the platform, Block the account of the poster",Yes,Unsure,8,5,5,"Forfeit data to authorities, Take down content related to CSAM, Disable users posting content related to CSAM, Disable users engaging (comments, likes, shares) with content related to CSAM, Warn users that content that they post or engage in might be CSAM, but allow them to proceed anyways",Maybe,N/A
3/12/2024 0:52:20,19,Non-Binary,Science,2B,No,N/A,Never,N/A,N/A,N/A,N/A,N/A,8,2,3,"Forfeit data to authorities, Take down content related to CSAM, Disable users engaging (comments, likes, shares) with content related to CSAM, Warn users that content that they post or engage in might be CSAM, but allow them to proceed anyways",Maybe,N/A
3/12/2024 10:42:58,22,Male,Engineering,3A,No,N/A,Never,N/A,N/A,N/A,N/A,N/A,9,4,6,"Forfeit data to authorities, Take down content related to CSAM, Disable users posting content related to CSAM, I don't think they should stop people engaging, because if they detect it's CSAM, they should just remove it instead of disabling features related to it.",No,N/A
3/12/2024 11:52:51,21,Male,Mathematics,4A,Yes,"Instagram, Twitter / X, YouTube",Occasionally (a few times a month),"A lot of physical violence in terms of hitting, a lot of pages post fights as well","Felt disgusted or disturbed, Reported the content to the platform","Feel disgusted or disturbed or helpless, Report the content to the platform, Block the account of the poster",Unsure,No,8,1,3,"Take down content related to CSAM, Disable users posting content related to CSAM, Disable users engaging (comments, likes, shares) with content related to CSAM, Warn users that content that they post or engage in might be CSAM, but allow them to proceed anyways",Yes,N/A
3/12/2024 17:14:40,21,Male,Science,3B,Yes,Instagram,Rarely (once or twice),Reels discussing pedophiles commenting on pictures of children posted by their parents,Felt disgusted or disturbed,"Feel disgusted or disturbed or helpless, Report the content to the platform",Unsure,N/A,5,1,,"Take down content related to CSAM, Disable users posting content related to CSAM, Disable users engaging (comments, likes, shares) with content related to CSAM, Warn users that content that they post or engage in might be CSAM, but allow them to proceed anyways",Yes,N/A
3/12/2024 20:01:55,21,Male,Engineering,3A,No,N/A,Never,N/A,N/A,N/A,N/A,N/A,1,5,10,Take down content related to CSAM,No,N/A
3/13/2024 18:54:21,22,Male,Arts,4A,No,N/A,Never,N/A,N/A,N/A,N/A,N/A,7,2,3,"Forfeit data to authorities, Take down content related to CSAM, Disable users posting content related to CSAM, Warn users that content that they post or engage in might be CSAM, but allow them to proceed anyways",No,N/A
3/14/2024 13:18:21,21,Female,Arts,4A,No,"Instagram, Twitter / X, TikTok, Snapchat",Never,N/A,N/A,N/A,N/A,N/A,8,3,2,"Forfeit data to authorities, Disable users engaging (comments, likes, shares) with content related to CSAM",Maybe,N/A
3/15/2024 13:39:44,21,Male,Engineering,3B,No,N/A,Never,N/A,N/A,N/A,N/A,N/A,6,3,5,"Disable users posting content related to CSAM, Disable users engaging (comments, likes, shares) with content related to CSAM, Warn users that content that they post or engage in might be CSAM, but allow them to proceed anyways",No,N/A
3/15/2024 20:21:06,24,Female,Engineering,Graduate,No,N/A,Never,N/A,N/A,N/A,N/A,N/A,8,3,6,"Take down content related to CSAM, Disable users posting content related to CSAM, Warn users that content that they post or engage in might be CSAM, but allow them to proceed anyways, Hand over data to authorities. I don't like the word ""forfeit"" because it implies that such action is forced by authorities. I worry that authorities could use such forfeiture power to obtain other data that they want to access.",Maybe,N/A
3/17/2024 8:31:40,22,Not disclosed,Arts,4B,No,N/A,Never,N/A,N/A,N/A,N/A,N/A,10,3,8,"Forfeit data to authorities, Take down content related to CSAM, Disable users posting content related to CSAM, Disable users engaging (comments, likes, shares) with content related to CSAM",No,N/A
3/19/2024 10:34:47,20,Non-Binary,Mathematics,4B,Yes,"Instagram, TikTok",Rarely (once or twice),It's usually derogatory comments to children/minors,"Felt disgusted or disturbed, Felt helpless, Reported the content to the platform","Report the content to the platform, Block the account of the poster",Unsure,No,7,2,4,"Take down content related to CSAM, Disable users posting content related to CSAM, Disable users engaging (comments, likes, shares) with content related to CSAM, Warn users that content that they post or engage in might be CSAM, but allow them to proceed anyways",Maybe,N/A
3/23/2024 19:08:05,21,Female,Mathematics,4A,No,N/A,Never,N/A,N/A,N/A,N/A,N/A,10,4,8,"Forfeit data to authorities, Take down content related to CSAM, Disable users posting content related to CSAM, Disable users engaging (comments, likes, shares) with content related to CSAM",Maybe,N/A
3/23/2024 21:12:20,22,Male,Engineering,4B,No,N/A,Never,N/A,N/A,N/A,N/A,N/A,10,3,6,"Forfeit data to authorities, Take down content related to CSAM, Disable users posting content related to CSAM, Disable users engaging (comments, likes, shares) with content related to CSAM",Maybe,N/A
3/24/2024 16:15:01,22,Male,Mathematics,4A,No,N/A,Never,N/A,N/A,N/A,N/A,N/A,10,3,6,"Take down content related to CSAM, Disable users posting content related to CSAM, Disable users engaging (comments, likes, shares) with content related to CSAM",Maybe,N/A
3/24/2024 18:44:46,21,Female,Mathematics,3B,No,N/A,Rarely (once or twice),N/A,N/A,N/A,N/A,N/A,10,1,2,"Take down content related to CSAM, Disable users posting content related to CSAM, Disable users engaging (comments, likes, shares) with content related to CSAM, Warn users that content that they post or engage in might be CSAM, but allow them to proceed anyways",Yes,N/A
3/28/2024 14:44:19,18,Queer,Arts,1B,Yes,"Facebook, Instagram, Twitter / X, YouTube, Discord",Occasionally (a few times a month),Video image,"Felt disgusted or disturbed, Felt helpless, Reported the content to the platform, Blocked the account of the poster","Feel disgusted or disturbed or helpless, Report the content to the platform, Block the account of the poster",Yes,No,10,1,2,"Forfeit data to authorities, Take down content related to CSAM, Disable users posting content related to CSAM, Disable users engaging (comments, likes, shares) with content related to CSAM, Warn users that content that they post or engage in might be CSAM, but allow them to proceed anyways",No,N/A
3/28/2024 14:47:43,21,Female,Science,3B,Yes,"Instagram, iFunny, Kik",Rarely (once or twice),Graphic video and image depictions of minors being sexually assaulted by adult(s),"Felt disgusted or disturbed, Reported the content to the platform, Blocked the account of the poster","Feel disgusted or disturbed or helpless, Report the content to the platform, Block the account of the poster",Yes,Unsure,7,2,2,"Forfeit data to authorities, Take down content related to CSAM, Disable users posting content related to CSAM, Disable users engaging (comments, likes, shares) with content related to CSAM",Maybe,N/A
3/28/2024 17:08:26,22,Male,Mathematics,4B,Yes,"Facebook, Instagram, TikTok, YouTube",Rarely (once or twice),Videos/posts of children in non-sexualized contexts and comments on the posts sexualizing them,"Felt disgusted or disturbed, Blocked the account of the poster","Feel disgusted or disturbed or helpless, Report the content to the platform, Block the account of the poster",Yes,Unsure,7,2,5,"Take down content related to CSAM, Disable users posting content related to CSAM, Disable users engaging (comments, likes, shares) with content related to CSAM",Yes,N/A
3/29/2024 2:07:43,20,Female,Mathematics,3A,No,N/A,Never,N/A,N/A,N/A,N/A,N/A,5,2,4,"Take down content related to CSAM, Disable users posting content related to CSAM, Disable users engaging (comments, likes, shares) with content related to CSAM",Yes,N/A
3/31/2024 22:19:24,20,Not disclosed,Mathematics,3A,No,N/A,Never,N/A,N/A,N/A,N/A,N/A,10,5,1,"Forfeit data to authorities, Take down content related to CSAM, Disable users posting content related to CSAM, Disable users engaging (comments, likes, shares) with content related to CSAM, Warn users that content that they post or engage in might be CSAM, but allow them to proceed anyways, For the above, they should not allow them to proceed",Yes,how do we identify that is it csam?
4/5/2024 23:20:03,21,Not disclosed,Engineering,3A,Yes,"Instagram, TikTok",Rarely (once or twice),N/A,"Felt disgusted or disturbed, Reported the content to the platform","Feel disgusted or disturbed or helpless, Report the content to the platform, Block the account of the poster",Yes,No,6,1,2,"Forfeit data to authorities, Take down content related to CSAM, Disable users posting content related to CSAM, Disable users engaging (comments, likes, shares) with content related to CSAM",Yes,N/A
4/5/2024 23:57:01,20,Female,Arts,2B,No,N/A,Never,N/A,N/A,N/A,N/A,N/A,10,3,5,"Take down content related to CSAM, Disable users posting content related to CSAM, Disable users engaging (comments, likes, shares) with content related to CSAM",Maybe,N/A
4/6/2024 21:27:54,22,Female,Mathematics,4A,Yes,"Instagram, TikTok",Occasionally (a few times a month),N/A,"Felt disgusted or disturbed, Felt helpless, Ignored it",Report the content to the platform,Yes,Unsure,10,1,2,"Forfeit data to authorities, Take down content related to CSAM",No,N/A
4/6/2024 21:30:43,22,Female,Engineering,3B,Yes,"Instagram, TikTok, Snapchat, YouTube",Frequently (several times a month or more),N/A,"Felt helpless, Ignored it",Report the content to the platform,Yes,No,10,3,3,"Forfeit data to authorities, Take down content related to CSAM, Disable users posting content related to CSAM, Disable users engaging (comments, likes, shares) with content related to CSAM",Maybe,N/A
4/6/2024 21:32:30,21,Female,Engineering,3B,Yes,"Instagram, Twitter / X, TikTok, Snapchat, YouTube",Occasionally (a few times a month),N/A,Blocked the account of the poster,"Report the content to the platform, Block the account of the poster",Yes,Unsure,9,3,5,"Disable users posting content related to CSAM, Disable users engaging (comments, likes, shares) with content related to CSAM",Yes,N/A
4/6/2024 21:37:38,21,Male,Arts,3B,Yes,"Snapchat, YouTube",Frequently (several times a month or more),N/A,Ignored it,"Report the content to the platform, Block the account of the poster",Yes,No,8,2,6,"Forfeit data to authorities, Take down content related to CSAM, Disable users posting content related to CSAM, Disable users engaging (comments, likes, shares) with content related to CSAM",Yes,N/A
4/7/2024 2:21:20,22,Male,Mathematics,4A,Yes,"Facebook, Instagram, Twitter / X, TikTok, YouTube, Telegram",Occasionally (a few times a month),N/A,"Felt disgusted or disturbed, Felt helpless, Reported the content to the platform","Feel disgusted or disturbed or helpless, Report the content to the platform, Block the account of the poster",Yes,Unsure,10,3,7,"Take down content related to CSAM, Disable users posting content related to CSAM, Disable users engaging (comments, likes, shares) with content related to CSAM",Yes,N/A
4/7/2024 2:26:31,23,Non-Binary,Engineering,4B,Yes,"Facebook, Instagram, Twitter / X, TikTok, Snapchat, YouTube, Telegram",Frequently (several times a month or more),N/A,"Felt disgusted or disturbed, Felt helpless, Reported the content to the platform, Blocked the account of the poster","Feel disgusted or disturbed or helpless, Report the content to the platform, Block the account of the poster",Unsure,Unsure,10,1,1,"Forfeit data to authorities, Take down content related to CSAM, Disable users posting content related to CSAM, Disable users engaging (comments, likes, shares) with content related to CSAM, Warn users that content that they post or engage in might be CSAM, but allow them to proceed anyways",Yes,N/A
4/7/2024 14:23:29,20,Female,Arts,3A,Yes,"Facebook, Instagram, Twitter / X",Frequently (several times a month or more),N/A,Felt helpless,"Report the content to the platform, Block the account of the poster",Yes,Unsure,7,3,4,"Take down content related to CSAM, Disable users posting content related to CSAM, Disable users engaging (comments, likes, shares) with content related to CSAM",Yes,N/A
4/7/2024 16:42:06,23,Male,Mathematics,4B,Yes,"Instagram, Twitter / X, TikTok, YouTube",Frequently (several times a month or more),N/A,"Felt disgusted or disturbed, Felt helpless, Ignored it",Report the content to the platform,Yes,No,10,1,5,"Take down content related to CSAM, Disable users posting content related to CSAM, Disable users engaging (comments, likes, shares) with content related to CSAM",Maybe,N/A
4/7/2024 16:45:21,23,Female,Mathematics,4B,Yes,"Snapchat, YouTube, WhatsApp, Kik",Occasionally (a few times a month),N/A,Ignored it,"Report the content to the platform, Block the account of the poster",Yes,No,10,2,4,Disable users posting content related to CSAM,No,N/A
4/7/2024 16:47:58,21,Female,Mathematics,3B,Yes,"Facebook, Instagram, Telegram",Frequently (several times a month or more),N/A,Felt helpless,Report the content to the platform,Yes,never heard back,10,3,4,"Disable users posting content related to CSAM, Disable users engaging (comments, likes, shares) with content related to CSAM",Yes,N/A
4/7/2024 16:52:34,20,Male,Mathematics,3A,Yes,"TikTok, Snapchat, Telegram",Frequently (several times a month or more),N/A,Ignored it,Report the content to the platform,Yes,No,6,3,5,"Forfeit data to authorities, Disable users posting content related to CSAM",Yes,N/A
4/7/2024 16:56:16,19,Not disclosed,Mathematics,3B,Yes,"TikTok, Telegram",Occasionally (a few times a month),N/A,"Felt helpless, Ignored it","Report the content to the platform, Block the account of the poster",Yes,Unsure,10,2,4,"Forfeit data to authorities, Take down content related to CSAM, Disable users posting content related to CSAM, Disable users engaging (comments, likes, shares) with content related to CSAM, Warn users that content that they post or engage in might be CSAM, but allow them to proceed anyways",Yes,N/A
4/10/2024 20:59:22,21,F,accounting,4A,maybe,wattpad? potentially instagram if it has been posted as a news story or something.,Rarely (once or twice),(news) story,,,,,9,3,5,"Warn users that content that they post or engage in might be CSAM, but allow them to proceed anyways",Maybe,
